datetime,pm25,temperature,humidity,wind_speed,wind_direction
2023-04-27 00:00:00,10.2,8.9,87,5.5,79
2023-04-27 01:00:00,9.7,9.0,87,5.1,86
2023-04-27 02:00:00,10.9,7.7,91,6.4,63
2023-04-27 03:00:00,13.2,7.7,90,5.1,82
2023-04-27 04:00:00,14.2,6.8,92,5.9,79
2023-04-27 05:00:00,12.5,6.7,92,4.7,86
2023-04-27 06:00:00,11.6,7.9,89,8.5,102
2023-04-27 07:00:00,11.6,9.4,86,8.0,117
2023-04-27 08:00:00,11.6,11.1,81,8.9,117
2023-04-27 09:00:00,11.3,13.2,75,9.5,115
2023-04-27 10:00:00,10.4,15.6,65,11.7,124
2023-04-27 11:00:00,9.7,17.2,62,12.8,130
2023-04-27 12:00:00,8.3,18.0,55,11.3,171
2023-04-27 13:00:00,7.5,18.0,55,11.9,178
2023-04-27 14:00:00,6.8,18.1,55,11.2,176
2023-04-27 15:00:00,6.7,17.7,59,10.8,176
2023-04-27 16:00:00,6.8,16.8,69,9.4,173
2023-04-27 17:00:00,6.9,15.6,80,7.6,177
2023-04-27 18:00:00,7.9,14.8,86,10.0,167
2023-04-27 19:00:00,8.4,14.4,89,12.6,177
2023-04-27 20:00:00,7.5,13.9,91,12.8,191
2023-04-27 21:00:00,6.6,13.8,92,13.1,201
2023-04-27 22:00:00,5.3,13.9,94,13.2,206
2023-04-27 23:00:00,4.8,14.1,93,14.4,212
2023-04-28 00:00:00,4.7,13.9,93,12.0,229
2023-04-28 01:00:00,4.4,14.7,94,11.9,235
2023-04-28 02:00:00,3.8,14.4,93,14.8,241
2023-04-28 03:00:00,3.9,14.2,93,13.6,238
2023-04-28 04:00:00,3.9,14.2,93,13.2,244
2023-04-28 05:00:00,4.6,14.1,93,11.0,251
2023-04-28 06:00:00,4.7,14.2,93,11.8,239
2023-04-28 07:00:00,4.6,15.1,88,14.8,252
2023-04-28 08:00:00,4.8,15.6,85,17.7,264
2023-04-28 09:00:00,3.5,16.9,78,18.4,266
2023-04-28 10:00:00,3.6,17.4,76,18.1,275
2023-04-28 11:00:00,3.7,18.1,71,16.6,274
2023-04-28 12:00:00,4.1,19.6,70,15.2,265
2023-04-28 13:00:00,4.3,20.5,65,15.2,277
2023-04-28 14:00:00,4.3,20.5,63,15.9,283
2023-04-28 15:00:00,4.1,20.8,60,16.0,293
2023-04-28 16:00:00,3.9,20.0,62,16.1,299
2023-04-28 17:00:00,4.0,19.1,66,14.8,309
2023-04-28 18:00:00,4.8,17.5,73,15.0,330
2023-04-28 19:00:00,5.4,15.2,81,14.5,333
2023-04-28 20:00:00,7.1,13.9,83,13.4,329
2023-04-28 21:00:00,8.3,12.9,86,11.5,328
2023-04-28 22:00:00,7.6,12.0,89,10.8,330
2023-04-28 23:00:00,6.7,11.2,92,8.5,332
2023-04-29 00:00:00,7.1,10.5,95,8.9,328
2023-04-29 01:00:00,8.1,9.8,97,7.0,325
2023-04-29 02:00:00,8.2,8.9,98,5.5,328
2023-04-29 03:00:00,8.1,8.5,98,6.1,332
2023-04-29 04:00:00,8.9,8.1,99,5.4,323
2023-04-29 05:00:00,9.6,8.2,99,5.9,322
2023-04-29 06:00:00,10.6,10.1,93,7.3,351
2023-04-29 07:00:00,11.5,10.6,93,8.0,18
2023-04-29 08:00:00,12.7,11.3,92,7.2,18
2023-04-29 09:00:00,15.8,12.4,87,7.5,17
2023-04-29 10:00:00,18.3,13.6,80,8.8,9
2023-04-29 11:00:00,18.0,14.6,73,10.5,4
2023-04-29 12:00:00,17.0,14.4,71,10.1,4
2023-04-29 13:00:00,16.6,15.1,68,10.9,9
2023-04-29 14:00:00,15.5,15.4,67,12.6,13
2023-04-29 15:00:00,14.2,15.6,65,13.4,24
2023-04-29 16:00:00,13.8,15.2,65,13.7,30
2023-04-29 17:00:00,13.2,14.9,65,14.1,32
2023-04-29 18:00:00,13.6,13.9,69,12.0,39
2023-04-29 19:00:00,14.2,12.9,71,10.9,44
2023-04-29 20:00:00,15.0,12.6,71,11.2,50
2023-04-29 21:00:00,15.3,12.1,72,10.4,46
2023-04-29 22:00:00,16.2,11.9,71,10.9,44
2023-04-29 23:00:00,14.8,11.4,73,9.2,51
2023-04-30 00:00:00,15.9,8.8,87,5.7,35
2023-04-30 01:00:00,16.2,7.9,90,7.6,25
2023-04-30 02:00:00,15.9,7.9,90,6.6,22
2023-04-30 03:00:00,15.6,7.7,91,5.8,7
2023-04-30 04:00:00,16.5,7.4,91,7.1,15
